fid,X,Y,area_no,name,type,era,year,place_1,place_2,detail,note_1,note_2,note_3,area,surveyed,description,photo,public_relations,confirmed,primary_image,height,width,depth,shape,material,inscription,statue_height,color,contradiction,need_action,status
"399",139.5171017351,36.2217252117,"5",竜積寺元禄地蔵尊,地蔵菩薩像,元禄2年,"1689",青柳町,,龍積寺,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"400",139.5368953322,36.2252772376,"86",おくまん地蔵尊,地蔵菩薩像,元禄2年,"1689",堀工町,,三神社,舟型背面、浮彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"401",139.5283180296,36.2237385635,"83",堀工善男善女地蔵尊,地蔵菩薩像,宝永7年,"1710",堀工町,,上堀工墓地,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"402",139.5171297691,36.2216689778,"6",首なし地蔵尊,地蔵菩薩像,正徳4年,"1714",青柳町,,龍積寺,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"403",139.5159234678,36.2376977804,"80",佛果地蔵尊,地蔵菩薩像,享保4年,"1719",富士原町,,富士原墓地,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"404",139.5406539423,36.2286886816,"89",享保舟型地蔵尊,地蔵菩薩像,享保9年,"1724",堀工町,,下堀工墓地,舟型背面、浮彫,,,六郷,,,,,FALSE,,,,,,,,,,,,
"405",139.5172590531,36.2216470867,"7",享保地蔵尊,地蔵菩薩像,享保15年,"1730",青柳町,,龍積寺,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"406",139.5171486854,36.2215745158,"8",法如地蔵尊,地蔵菩薩像,享保19年,"1734",青柳町,,龍積寺,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"407",139.5398120545,36.2414367589,"165",旧花山道地蔵尊,"道標,地蔵菩薩像",享保20年,"1735",松原一丁目,19-32,瀬山康長宅,柱型、文字地蔵尊,,,六郷,,@,,NaN/NaN,FALSE,,,,,,,,,,,,
"408",139.5118091762,36.2275111844,"73",苗木地蔵尊,地蔵菩薩像,寛延元年,"1748",苗木町,,苗木墓地,舟型背面、浮彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"409",139.5315741406,36.2407808255,"192",延命地蔵尊,地蔵菩薩像,明和元年,"1764",緑町一丁目,,遍照寺,丸彫,,,六郷,,,,,FALSE,,,,,座像,,,,,,,
"410",139.5317212338,36.2394487403,"190",百万遍供養地蔵尊,地蔵菩薩像,明和4年,"1767",緑町一丁目,,新宿薬師堂前,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"411",139.5427321742,36.238097898,"174",光明地蔵尊,地蔵菩薩像,明和8年,"1771",松原二丁目,,松原霊園,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"412",139.5171309628,36.2217114918,"37",臨照院地蔵尊,地蔵菩薩像,明和8年,"1771",青柳町,,龍積寺,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"413",139.5317098286,36.2407254578,"193",賢覚地蔵尊,地蔵菩薩像,安永9年,"1780",緑町一丁目,,遍照寺,丸彫,,,六郷,,,,,FALSE,,,,,座像,,,,,,,
"414",139.5355841287,36.2263226567,"97",岩船山地蔵尊,地蔵菩薩像,天明3年,"1783",堀工町,,須永銀八宅地,舟型背面、浮彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"415",139.522667345,36.233806267,"41",文政地蔵尊,地蔵菩薩像,文政5年,"1822",小桑原町,,密蔵寺,柱型、文字、像なし,,,六郷,,,,,FALSE,,,,,,,,,,,,
"416",139.5160186125,36.2376557714,"81",治郎吉地蔵尊,地蔵菩薩像,天保11年,"1840",富士原町,,富士原墓地,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"417",139.5330641247,36.2410987956,"187",トウムギ地蔵尊,地蔵菩薩像,不明,,緑町一丁目,,新宿トウムギ地蔵堂内,丸彫、厨子入り,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"418",139.5428598784,36.2379863355,"175",松原無銘地蔵尊,地蔵菩薩像,不明,,松原二丁目,,松原霊園,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"419",139.5228233252,36.2339360209,"58",子安地蔵尊,地蔵菩薩像,不明,,小桑原町,,密蔵寺,丸彫,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"420",139.5171909215,36.2217295156,"9",龍積寺地蔵尊,地蔵菩薩像,不明,,青柳町,,龍積寺,丸彫、木造,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"421",139.5314734636,36.2409044628,"206",遍照寺無縁地蔵尊,地蔵菩薩像,元禄10年,"1697",緑町一丁目,,遍照寺,丸彫、銅造,,,六郷,,,,,FALSE,,,,,立像,,,,,,,
"422",139.5316589862,36.2409295901,"207",遍照寺六地蔵尊,地蔵菩薩像,貞享元年,"1684",緑町一丁目,,遍照寺墓地,六角柱各面浮彫,,,六郷,,,,,FALSE,,,,,,,,,,,,
"423",139.5428871457,36.2381844843,"176",元禄馬頭尊,馬頭観世音,元禄13年,"1700",松原二丁目,,松原霊園,舟型背面像,,,六郷,,,,,FALSE,,,,,,,,,,,,
"424",139.5172682856,36.2217735037,"18",寛保馬頭尊,馬頭観世音,寛保2年,"1742",青柳町,,龍積寺境内,〃,,,六郷,,,,,FALSE,,,,,,,,,,,,
"425",139.5189952221,36.2205361785,"1",慶陳馬頭尊,馬頭観世音,安永3年,"1774",青柳町,,田口憲司家前,〃,,,六郷,,,,,FALSE,,,,,,,,,,,,
"426",139.5404777111,36.2286430724,"90",下堀工安永馬頭尊,馬頭観世音,安永8年,"1779",堀工町,,下堀工墓地,〃,,,六郷,,,,,FALSE,,,,,,,,,,,,
"427",139.5315466521,36.2407283106,"194",遍照寺天明馬頭尊,馬頭観世音,天明元年,"1781",緑町一丁目,,遍照寺,〃,,,六郷,,,,,FALSE,,,,,,,,,,,,
"428",139.5170631995,36.2215049088,"10",寛政平吉馬頭尊,馬頭観世音,寛政3年,"1791",青柳町,,龍積寺,〃,,,六郷,,,,,FALSE,,,,,,,,,,,,
"429",139.5404854435,36.2285354709,"91",定右ェ門馬頭尊,馬頭観世音,寛政4年,"1792",堀工町,,下堀工墓地,厚碑型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"430",139.5171911363,36.2216650204,"11",寛政文字馬頭尊,馬頭観世音,寛政7年,"1795",青柳町,,龍積寺,〃,,,六郷,,,,,FALSE,,,,,,,,,,,,
"431",139.5394428312,36.2401808378,"169",八右エ門馬頭尊,馬頭観世音,文化元年,"1804",松原一丁目か,,浜野喜四郎,舟型背面像,,,六郷,,,,,FALSE,,,,,,,,,,,,
"432",139.5355738146,36.2262771423,"100",源右ェ門馬頭尊,馬頭観世音,文化9年,"1812",堀工町,,松本 勇七,厚碑型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"433",139.542744231,36.2380305153,"170",文政直線舟型馬頭尊,馬頭観世音,文政3年,"1820",松原二丁目,,松原墓地,舟型背面像,,,六郷,,,,,FALSE,,,,,,,,,,,,
"434",139.5171262484,36.2215977796,"12",文政甚右ェ門馬頭尊,馬頭観世音,文政10年,"1827",青柳町,,龍積寺,舟型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"435",139.5190072734,36.2205612281,"2",安政文字馬頭尊,馬頭観世音,安政3年,"1856",青柳町,,鑓田 周作,厚碑型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"436",139.5310628533,36.2244880797,"119",釜塚馬頭尊,馬頭観世音,慶応3年,"1867",堀工町,,茂林寺墓地,〃,,,六郷,,,,,FALSE,,,,,,,,,,,,
"437",139.5312130402,36.2244186881,"104",戊辰文字馬頭尊,馬頭観世音,明治元年,"1868",堀工町,,茂林寺,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"438",139.5172127991,36.2217329778,"13",碑型文字馬頭尊,馬頭観世音,明治10年,"1877",青柳町,,龍積寺,碑型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"439",139.5427534407,36.2380532142,"171",柱型文字馬頭尊,馬頭観世音,明治11年,"1878",松原二丁目,,松原墓地,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"440",139.5171525668,36.2215593658,"19",福地文字馬頭尊,馬頭観世音,明治38年,"1905",青柳町,,龍積寺境内,柱型（下半欠）,,,六郷,,,,,FALSE,,,,,,,,,,,,
"441",139.5173276763,36.2217158884,"20",駒型文字馬頭尊,馬頭観世音,大正15年,"1926",青柳町,,龍積寺境内,駒型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"442",139.5353967893,36.2262729012,"98",重吉馬頭尊,馬頭観世音,昭和10年,"1935",堀工町,,中里 重太郎,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"443",139.5171883684,36.2215184356,"21",観音馬頭尊,馬頭観世音,昭和17年,"1942",青柳町,,龍積寺境内,〃,,,六郷,,,,,FALSE,,,,,,,,,,,,
"444",139.535393734,36.2263372501,"156",常太郎馬頭尊,馬頭観世音,昭和18年,"1943",堀工町,,野村 純一郎,〃,,,六郷,,,,,FALSE,,,,,,,,,,,,
"445",139.5395236093,36.2402546858,"168",儀助馬頭尊,馬頭観世音,昭和23年,"1948",松原一丁目か,,瀬山 儀一,駒型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"446",139.5284106832,36.2238363751,"84",烏□馬頭尊,馬頭観世音,不明,,堀工町,,上堀工墓地,厚碑型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"447",139.5235943434,36.2342570916,"40",近藤無銘馬頭尊,馬頭観世音,不明,,小桑原町,,近藤焼却場北,舟型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"448",139.5315312703,36.2409279158,"195",遍照寺如意輪観世音,如意輪観音像,宝暦4年,"1754",緑町一丁目,,遍照寺境内,梵字23字あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"449",139.5172870819,36.2215791659,"32",青柳如意輪観音,如意輪観音像,宝暦8年,"1758",青柳町,,龍積寺山門脇,むしば地蔵,,,六郷,,,,,FALSE,,,,,,,,,,,,
"450",139.5227142507,36.2337750183,"59",密蔵寺如意輪供養塔,如意輪観音像,宝暦9年,"1759",小桑原町,,密蔵寺墓地入口,像あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"451",139.5309844382,36.2243966022,"106",十六夜如意輪観音,如意輪観音像,明和2年,"1765",堀工町,,茂林寺境内,像あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"452",139.5427436042,36.2380931662,"177",松原如意輪観音,如意輪観音像,安永3年,"1774",松原二丁目,,松原霊園,像あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"453",139.5367909149,36.2251095537,"87",おくまん二十三夜塔,月待塔,文久2年,"1862",堀工町,,三神社裏,柱型,,,六郷,,,,,FALSE,,,,,,,,,,,,
"454",139.5329524604,36.2412684671,"205",トウムギ地蔵堂二十三夜塔,"地蔵菩薩像,月待塔",文久3年,"1863",緑町一丁目,3月7日,,柱型,,,六郷,,,,,FALSE,,,,,,,,,,,,
"455",139.5310805036,36.2245220917,"117",堀工二十三夜塔,月待塔,慶応2年,"1866",堀工町,,茂林寺守鶴堂脇,柱型,,,六郷,,,,,FALSE,,,,,,,,,,,,
"456",139.5317497946,36.2393251314,"189",薬師堂十九夜尊,月待塔,大正11年,"1922",緑町一丁目,,新宿薬師堂境内,像あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"457",139.517335767,36.2215169667,"14",慶範不動明王,明王像,明和5年,"1768",青柳町,,龍積寺,丸彫,,,六郷,,,,,FALSE,,,,,,,,,,,,
"458",139.530924192,36.2240053634,"82",栗原家不動尊,,不明,,堀工町,上堀工,"157",舟型背面、浮彫,,,六郷,,,,,FALSE,,,,,,,,,,,,
"459",139.5171279132,36.2216980107,"22",龍積寺大黒天,,元治元年,"1864",青柳町,,龍積寺境内,丸彫,,,六郷,,,,,FALSE,,,,,,,,,,,,
"460",139.5227577565,36.2339481712,"42",二童子庚申,庚申,寛文5年,"1665",小桑原町,,密蔵寺墓地入口,三猿浮彫,,,六郷,,,,,FALSE,,,,,,,,,,,,
"461",139.5228782058,36.2339625555,"43",寛文三猿庚申,庚申,寛文11年,"1671",小桑原町,,密蔵寺墓地入口,三猿浮彫,,,六郷,,,,,FALSE,,,,,,,,,,,,
"462",139.5226669127,36.2337562933,"44",三猿庚申待供養,庚申,寛文12年,"1672",小桑原町,,密蔵寺墓地入口,自然石,,,六郷,,,,,FALSE,,,,,,,,,,,,
"463",139.5426162201,36.2381049998,"181",延宝三猿庚申,庚申,延宝8年,"1680",松原二丁目,,松原霊園墓地内,三猿浮彫,,,六郷,,,,,FALSE,,,,,,,,,,,,
"464",139.5312200579,36.2243661426,"153",茂林寺三猿庚申,庚申,延宝8年,"1680",堀工町,,茂林寺墓地入口,三猿浮彫,,,六郷,,,,,FALSE,,,,,,,,,,,,
"465",139.5228540549,36.2338576469,"45",甲子三猿庚申,庚申,貞享元年,"1684",小桑原町,,密蔵寺墓地入口,三猿浮彫,,,六郷,,,,,FALSE,,,,,,,,,,,,
"466",139.5172578439,36.2215898174,"23",元禄笠庚申,庚申,元禄14年,"1701",青柳町,,龍積寺境内,笠型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"467",139.5427201659,36.2382086844,"182",正徳三猿庚申,庚申,正徳3年,"1714",松原二丁目,,松原霊園墓地内,三猿浮彫庚申,,,六郷,,,,,FALSE,,,,,,,,,,,,
"468",139.5171679099,36.2217685444,"24",自然石猿田彦,庚申,享保2年,"1717",青柳町,,龍積寺境内,自然石、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"469",139.5368481711,36.2252916795,"88",三神社一猿庚申,庚申,元文5年,"1740",堀工町,,三神社境内,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"470",139.5171682202,36.2217061255,"25",天文一猿青面金剛,庚申,元文5年,"1740",青柳町,,龍積寺境内,文字、青面金剛,,,六郷,,,,,FALSE,,,,,,,,,,,,
"471",139.5428633432,36.2381839393,"183",延享青面金剛,庚申,延享4年,"1748",松原二丁目,,松原霊園墓地内,文字、青面金剛,,,六郷,,,,,FALSE,,,,,,,,,,,,
"472",139.5171553082,36.221661089,"26",明和慶範庚申,庚申,明和元年,"1764",青柳町,,龍積寺境内,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"473",139.5427777297,36.2381180577,"184",明和庚申,庚申,明和2年,"1765",松原二丁目,,松原霊園墓地内,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"474",139.5355296165,36.226182461,"95",天明庚申,庚申,天明2年,"1782",堀工町,,須永銀八方,駒型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"475",139.5427139082,36.2379738185,"185",自然石庚申,庚申,寛政12年,"1800",松原二丁目,,松原霊園墓地内,自然石、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"476",139.5202532339,36.2385690479,"78",富士嶽道標庚申,"道標,庚申",寛政12年,"1800",富士原町,,富士嶽神社境内,柱型、文字,,,六郷,,@,,Aug-14,FALSE,,,,,,,,,,,,
"477",139.5312023185,36.2243357145,"154",堀工自然石庚申,庚申,寛政12年,"1800",堀工町,,茂林寺墓地入口,自然石、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"478",139.5173341934,36.2215044686,"27",諏訪庚申,庚申,文化9年,"1812",青柳町,,龍積寺境内,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"479",139.5428212148,36.2380505333,"186",萬延庚申,庚申,萬延元年,"1860",松原二丁目,,松原霊園墓地内,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"480",139.5171171175,36.2215988496,"28",龍積寺萬延庚申,庚申,萬延元年,"1860",青柳町,,龍積寺境内,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"481",139.5189162689,36.2204216895,"3",弘安弥陀板碑,,弘安10年,"1287",青柳町,,鑓田 周作,出所：所在地と同じ、泰母,,,六郷,,,,,FALSE,,55.5,15.4,,,,,,,,,
"482",139.4896955769,36.2484152372,"164",元弘板碑,,元弘3年,"1333",成島町,,菊池 新作,出所：谷田川河床、湟槃経第三、上下部欠,,,多々良,,,,,FALSE,,,,,,,,,,,,
"483",139.5406415568,36.2446263367,"291",応安板碑,,応安7年,"1374",城町,,館林市第一資料館,出所：龍積寺境内、花瓶一ヶ上部欠,"隠刻銘、県史No,1504、資料館目録：A-15-10",2013年、市史調査で現存,館林,,,,,FALSE,,47,26,,,,,,,,,
"484",139.5408528339,36.2447175544,"292",文安弥陀板碑(青柳龍積寺境内発見),,文安4年,"1447",城町,,館林市第一資料館,出所：龍積寺境内、二阿弥,"隠刻銘、県史No,1830、資料館目録：A-15-17",2013年、市史調査で現存,館林,,,,,FALSE,,58,18.5,,,,,,,,,
"485",139.5190704525,36.2204100804,"35",宝徳弥陀板碑,,宝徳4年,"1452",青柳町,,金子 吉雄,出所：所在地と同じ,,,六郷,,,,,FALSE,,,,,,,,,,,,
"486",139.5190565437,36.2203939047,"36",弥陀板碑,,不明,,青柳町,,金子 吉雄,出所：所在地と同じ、中・下部欠,,,六郷,,,,,FALSE,,,,,,,,,,,,
"487",139.5407037026,36.2447498477,"293",龍積寺板碑,,不明,,城町,,市立図書館,出所：龍積寺、種子・蓮台の一部のみ,,,館林,,,,,FALSE,,,,,,,,,,,,
"488",139.5310269132,36.2243189417,"107",茂林寺板碑,,不明,,堀工町,,茂林寺境内,出所：所在地と同じ、上・中部欠,,,六郷,,,,,FALSE,,,,,,,,,,,,
"489",139.5315225061,36.2408243887,"200",遍照寺宝篋印塔（1）,,寛永14年,"1637",緑町一丁目,,遍照寺墓地,相輪欠、刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"490",139.5316104531,36.240918774,"201",遍照寺宝篋印塔（2）,,寛文元年,"1661",緑町一丁目,,遍照寺墓地,相輪欠、刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"491",139.5316551364,36.2407985669,"202",遍照寺宝篋印塔（3）,,寛文3年,"1663",緑町一丁目,,遍照寺墓地,相輪欠、刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"492",139.5317282088,36.2408588653,"203",遍照寺宝篋印塔（4）,,不明,,緑町一丁目,,遍照寺墓地,笠部（室町期）,,,六郷,,,,,FALSE,,,,,,,,,,,,
"493",139.5427805169,36.2380614558,"178",松原霊園宝篋印塔（1）,,寛永12年,"1635",松原二丁目,,松原霊園,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"494",139.5427090203,36.2380102169,"179",松原霊園宝篋印塔（2）,,寛文9年,"1669",松原二丁目,,松原霊園,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"495",139.5312142732,36.2244302706,"120",茂林寺宝篋印塔（1）,,慶長19年,"1614",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"496",139.5310069565,36.2245004979,"121",茂林寺宝篋印塔（2）,,寛永2年,"1625",堀工町,,茂林寺墓地,相輪欠、刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"497",139.5312506779,36.2245279303,"122",茂林寺宝篋印塔（3）,,寛永3年,"1626",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"498",139.5310896044,36.2243556581,"123",茂林寺宝篋印塔（4）,,寛永4年,"1627",堀工町,,茂林寺墓地,刻銘あり、昭和44年～45年頃掘り出されたという,,,六郷,,,,,FALSE,,,,,,,,,,,,
"499",139.5311124841,36.2244140951,"124",茂林寺宝篋印塔（5）,,寛永9年,"1632",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"500",139.5311324235,36.224418282,"125",茂林寺宝篋印塔（6）,,寛永9年,"1632",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"501",139.531083428,36.2245702252,"126",茂林寺宝篋印塔（7）,,寛永10年,"1633",堀工町,,茂林寺墓地,相輪欠、刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"502",139.5311836183,36.2243659084,"127",茂林寺宝篋印塔（8）,,寛永11年,"1634",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"503",139.5311362015,36.2245126093,"128",茂林寺宝篋印塔（9）,,寛永12年,"1635",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"504",139.5309883428,36.2244029519,"129",茂林寺宝篋印塔（10）,,寛永13年,"1636",堀工町,,茂林寺墓地,相輪上部欠損、刻銘あり、寛永13年は子,,,六郷,,,,,FALSE,,,,,,,,,,,,
"505",139.5311331103,36.2244648421,"130",茂林寺宝篋印塔（11）,,寛永13年,"1636",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"506",139.5310704387,36.2243478595,"131",茂林寺宝篋印塔（12）,,寛永16年,"1639",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"507",139.5310676241,36.2244210451,"132",茂林寺宝篋印塔（13）,,寛永16年,"1639",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"508",139.5310321392,36.2243200488,"133",茂林寺宝篋印塔（14）,,寛永16年,"1639",堀工町,,茂林寺墓地,相輪一部欠損、刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"509",139.5311875978,36.224505133,"134",茂林寺宝篋印塔（15）,,寛永17年,"1640",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"510",139.5311667104,36.2243225444,"135",茂林寺宝篋印塔（16）,,寛永18年,"1641",堀工町,,茂林寺墓地,相輪欠損、刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"511",139.531127151,36.2244130701,"136",茂林寺宝篋印塔（17）,,寛永18年,"1641",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"512",139.5311851059,36.2245341484,"137",茂林寺宝篋印塔（18）,,寛永20年,"1643",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"513",139.5310618523,36.2245455314,"138",茂林寺宝篋印塔（19）,,寛永22年,"1645",堀工町,,茂林寺墓地,刻銘あり、寛永21年12月正保に改元する,,,六郷,,,,,FALSE,,,,,,,,,,,,
"514",139.5311505754,36.2244885308,"139",茂林寺宝篋印塔（20）,,正保2年,"1645",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"515",139.5311155835,36.2243651731,"140",茂林寺宝篋印塔（21）,,正保3年,"1646",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"516",139.531005624,36.224579165,"141",茂林寺宝篋印塔（22）,,正保3年,"1646",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"517",139.5311872785,36.2243491189,"142",茂林寺宝篋印塔（23）,,正保3年,"1646",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"518",139.5310572198,36.2243768854,"143",茂林寺宝篋印塔（24）,,正保4年,"1647",堀工町,,茂林寺墓地,相輪欠損、刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"519",139.5311439679,36.2243829483,"144",茂林寺宝篋印塔（25）,,正保5年,"1648",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"520",139.5311391067,36.2244501843,"145",茂林寺宝篋印塔（26）,,承応2年,"1653",堀工町,,茂林寺墓地,刻銘あり、干支は癸巳のはず,,,六郷,,,,,FALSE,,,,,,,,,,,,
"521",139.5310859807,36.2243374007,"146",茂林寺宝篋印塔（27）,,明暦3年,"1657",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"522",139.531186932,36.2243824779,"147",茂林寺宝篋印塔（28）,,寛文9年,"1669",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"523",139.5310981043,36.2244699606,"148",茂林寺宝篋印塔（29）,,延宝7年,"1679",堀工町,,茂林寺墓地,刻銘あり,,,六郷,,,,,FALSE,,,,,,,,,,,,
"524",139.5310160203,36.2243885355,"149",茂林寺宝篋印塔（30）,,不明,,堀工町,,茂林寺墓地,,,,六郷,,,,,FALSE,,,,,,,,,,,,
"525",139.5311040842,36.2244020543,"150",茂林寺宝篋印塔（31）,,不明,,堀工町,,茂林寺墓地,刻銘なし,,,六郷,,,,,FALSE,,,,,,,,,,,,
"526",139.5311222683,36.2244919016,"151",茂林寺宝篋印塔（32）,,不明,,堀工町,,茂林寺墓地,塔身なし,,,六郷,,,,,FALSE,,,,,,,,,,,,
"527",139.5310885207,36.2243205394,"152",茂林寺宝篋印塔（33）,,不明,,堀工町,,茂林寺墓地,相輪1、笠部3、基礎1,,,六郷,,,,,FALSE,,,,,,,,,,,,
"528",139.5202763661,36.2385331418,"77",富士嶽神社宝篋印塔,,不明,,富士原町,,富士嶽神社,塔身1,,,六郷,,,,,FALSE,,,,,,,,,,,,
"529",139.5172737286,36.2215043882,"15",龍積寺宝篋印塔,,不明,,青柳町,,龍積寺,塔身1,,,六郷,,,,,FALSE,,,,,,,,,,,,
"531",139.541002356,36.2379275302,"164",松原観世音道標,道標,元文3年,"1738",松原一丁目,7-33,瀬山 増男,,,,六郷,,@,,Mar-14,FALSE,,,,,,,,,,,,
"533",139.5391337634,36.2424021055,"167",松林寺回国道標,道標,文政8年,"1825",松原一丁目,,松原公民館,,,,六郷,,@,,Jan-16,FALSE,,,,,,,,,,,,
"534",139.5291265675,36.2394391318,"66",富士浅間入口道標,道標,天保7年,"1836",新宿一丁目,8月11日,通り,,現在は富士嶽神社境内,,六郷,,@,,Aug-13,FALSE,,,,,,,,,,,,
"535",139.5396194036,36.2402772425,"163",松原道標,道標,不明,,松原一丁目,,交差点,,,,六郷,,@,,Feb-15,FALSE,,,,,,,,,,,,
"536",139.5396906161,36.2415151689,"166",瀬山道祖神道標,道標,不明,,松原一丁目,19-32,瀬山 康長,,,,六郷,,,,,FALSE,,,,,,,,,,,,
"537",139.5202210194,36.238595828,"79",富士嶽天明道祖神,,天明2年,"1782",富士原町,,富士嶽神社境内,,,,六郷,,,,,FALSE,,,,,,,,,,,,
"539",139.5228113923,36.2338586826,"60",悦心念佛供養,,宝暦元年,"1751",小桑原町,,密蔵寺墓地入口,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"540",139.5119535338,36.227637557,"74",苗木百力遍供養塔,,明和3年,"1766",苗木町,,苗木墓地入口,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"541",139.5171395321,36.221545083,"29",普門品供養塔,,延享3年,"1746",青柳町,,龍積寺境内,柱型、文字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"542",139.5354148204,36.2261420019,"94",須永さんのうさま,,天明4年,"1784",堀工町,,須永 銀八,舟型背面,,,六郷,,,,,FALSE,,,,,,,,,,,,
"543",139.5427340282,36.2381194981,"180",英順光明供養塔,,天保9年,"1838",松原二丁目,,松原霊園,柱型、梵字,,,六郷,,,,,FALSE,,,,,,,,,,,,
"544",139.5315759579,36.2407416596,"196",與教大師七百五十回遠忍供養塔,,明治27年,"1894",緑町一丁目,,遍照寺境内,柱型、文字,,,六郷,,,,,FALSE,,1142,38,36,,,,,,,,
