入力No.,地区No.,名称,種別,年代,西暦,所在地①,所在地②,詳細,備考①,備考②,備考③,参考文献,地区,調査日,解説,写真,広報,緯度（世界）,経度（世界）,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒
159,274,暦応二年弥陀真言板碑(日向字多々良出土､武藤医院旧蔵),,暦応2年,1339,城町,,館林市第一資料館,種子 キリーク、光明真言、上下二石に分割,"隠刻銘、県史No,857、資料館目録：A-15-15",高53.5幅17,②444③,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
160,275,暦応三年弥陀三尊板碑,,暦応3年,1340,城町,,市立図書館,華瓶1個　弥陀三尊,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
161,276,暦応四年弥陀板碑,,暦応4年,1341,城町,,館林市第一資料館,種子 キリーク、右上欠,"隠刻銘、県史No,878、飯塚資料No,68、資料館目録：A-35-18",高47幅20,②446③⑧956,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
162,277,観応三年真言板碑,,観応3年,1352,城町,,市立図書館,華瓶1対　光明真言,,高幅厚,③⑧957,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
163,278,延文二年板碑(侭田信彦氏旧蔵),,延文2年,1357,城町,,館林市第一資料館,上欠,"隠刻銘、県史No,1226、資料館目録：A-35-19",高26幅16.5,②448③,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
164,279,延文三年弥陀真言板碑,,延文3年,1358,城町,,市立図書館,光明真言,寸法：51×21.5,高幅厚,③,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
166,280,永和二年弥陀板碑(侭田信彦氏旧蔵),,永和2年,1376,城町,,館林市第一資料館,種子 キリーク,"隠刻銘、県史No,1525、飯塚資料No,95、資料館目録：A-35-20、年号と干支一致せず",高61.5幅19,②452③⑧957,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
167,281,応永四年弥陀板碑,,応永4年,1397,城町,,館林市第一資料館,種子 キリーク、花瓶一対,隠刻銘、資料館目録：A-35-21,高29幅16.5,②456③,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
168,282,応永三十年弥陀板碑(板倉町増田氏寄贈),,応永30年,1423,城町,,館林市第一資料館,種子 キリーク、上下二石に分割,"隠刻銘、県史No,1783、資料館目録：A-25-4,A-25-8",高68.5幅21.5,②458③,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
169,283,応永三十二年弥陀一尊板碑(板倉町増田氏寄贈),,応永32年,1425,城町,,館林市第一資料館,種子 キリーク,"隠刻銘、県史No,1786、資料館目録：A-25-5",高60.5幅21,②458③,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
170,284,応永弥陀一尊板碑(館林市図書館),,応永年間,1394～1427,城町,,館林市第一資料館(板倉町大字岩田より出土),種子 キリーク、下部欠,寸法：21×15.5,高幅厚,③,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
171,285,永享六年大日一尊板碑(板倉町増田氏寄贈),,永享6年,1434,城町,,館林市第一資料館,種子 バン,"隠刻銘、県史No,1812、資料館目録：A-25-6",高54幅18,②460③,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
172,286,嘉吉四年一尊板碑(板倉町増田氏寄贈),,嘉吉4年,1444,城町,,館林市第一資料館,増房禅門,"隠刻銘、県史No,1825、資料館目録：A-25-7",高20幅15.5,②460③,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
173,287,文安四年弥陀一尊板碑,,文安4年,1447,城町,,市立図書館,種子 キリーク,,高幅厚,②460③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
175,288,文明九年弥陀板碑(侭田信彦氏旧蔵),,文明9年,1477,城町,,館林市第一資料館,種子 キリーク,"隠刻銘、県史No,1862、飯塚資料No,126、資料館目録：A-35-22",高48幅15,②462③⑧958,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
177,289,図書館板碑（1）,,不明,,城町,,市立図書館,種子 キリーク,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
178,290,図書館板碑（2）,,不明,,城町,,市立図書館,,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
483,291,応安板碑,,応安7年,1374,城町,,館林市第一資料館,出所：龍積寺境内、花瓶一ヶ上部欠,"隠刻銘、県史No,1504、資料館目録：A-15-10",高47幅26,②452④,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
484,292,文安弥陀板碑(青柳龍積寺境内発見),,文安4年,1447,城町,,館林市第一資料館,出所：龍積寺境内、二阿弥,"隠刻銘、県史No,1830、資料館目録：A-15-17",高58幅18.5,②462④,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
487,293,龍積寺板碑,,不明,,城町,,市立図書館,出所：龍積寺、種子・蓮台の一部のみ,,高幅厚,②466④,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
680,294,元享勢至板碑,,元享4年,1324,城町,,館林市第一資料館,出所：下三林町 釈迦堂、三尊、上下左共欠、光明真言、本尊種子欠、両脇,"隠刻銘、県史No,539、寸法：22.5×17、資料館目録：A-15-13",高幅厚,④,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
1011,295,正和三年弥陀一尊板碑,,正和3年,1314,城町,,館林市第一資料館,小新田、出土,"隠刻銘、県史No,364、資料館目録：A-15-12",高72.5幅27,②438⑤⑧955,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
1128,296,永仁板碑(大島字山王出土､鈴木晃雄氏旧蔵),,永仁1年,1293,城町,,館林市第一資料館,出所：山王,"隠刻銘、県史No,160、資料館目録：A-15－11",高58幅21.5,②434⑥⑧955,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
1444,297,阿弥陀如来種子板碑,,暦応6年,1343,城町,,館林市第一資料館,種子 キリーク,"『群』現物未確認、『板碑集録』による(飯塚報)、隠刻銘、県史No,909、寸法：53×19",高53幅19,②446,館林,H25市史,,,,0.00000000 ,0.00000000 ,,,,,,
239,298,館林町道路元標,道標,大正14年,1925,城町,,市立図書館前(元大辻),厚碑型,,高幅厚,②489③,館林,,@,@,14/11,36.24801944 ,139.53390278 ,36 ,14 ,52.87 ,139 ,32 ,2.05 
1405,299,釈迦如来種子板碑,,文永10年,1273,館林市,,,種子 バク,,高42.7幅17.5,②432,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1522,300,阿弥陀如来画像板碑,,不明,,館林地区,,後閑 嘉一郎,,,高65幅23.5,②468,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1441,301,阿弥陀如来種子板碑,,建武年間,1334～1336,館林地区,,杉本 八代,種子 キリーク,,高27幅16,②444⑧956,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1524,302,阿弥陀如来種子板碑,,不明,,館林地区,,宮杉 あさ,種子 キリーク,,高130幅40,②468,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1523,303,釈迦如来種子板碑,,不明,,館林地区,,三ッ森 洋三,種子 バク,,高23幅15.7,②468,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1479,31,阿弥陀如来種子板碑,,応永2年,1395,郷谷地区,,岩尾 貞和,種子 キリーク,,高75幅23,②456⑧957,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1112,32,田谷馬頭観世音,,明治13年,1880,田谷町,谷中（田谷東端）,,柱型、土地改良のため南寄り現在地へ移動する,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
332,33,建武弥陀一尊板碑,,建武年間,1334～1337,田谷町,,稲荷神社,種子、キリーク,,高26.5幅15.5,②444③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
333,34,建武五年弥陀一尊板碑,,建武5年,1338,田谷町,,稲荷神社,種子 キリーク,,高39.5幅21,②444③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
334,35,貞治二年弥陀一尊板碑,,貞治2年,1363,田谷町,,稲荷神社,種子、キリーク,,高31幅16,②450③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
335,36,貞治六年弥陀一尊板碑,,貞治6年,1367,田谷町,,稲荷神社,種子、キリーク,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
307,37,田谷十九夜塔,,嘉永2年,1849,田谷町,,観音堂,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
381,38,田谷普門品供養塔,,文政元年,1818,田谷町,,観音堂,柱型、笠付き,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1064,39,聖観音菩薩,立像,大正年間,1912～1926,田谷町,,観音堂,銅造,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1065,40,観音菩薩座像,座像,不明,,田谷町,,観音堂,銅造,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1125,41,田谷十九夜,,嘉永2年,1849,田谷町,,観音堂境内,柱型,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
319,42,田谷宝永庚申塔,,宝永5年,1708,田谷町,,田谷墓地,舟型背面、青面金剛三猿浮彫,,高幅厚,③⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
274,43,田谷宝暦馬頭尊,,宝暦5年,1755,田谷町,,,舟型背面、像浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
290,44,田谷、谷中馬頭尊,,明治13年,1880,田谷町,,,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
308,45,千塚十九夜塔,座像,明治29年,1896,千塚町,,常栄寺,丸彫、柱型,,高幅厚,③⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
283,46,千塚天保馬頭尊,,天保12年,1841,千塚町,,千塚判官塚,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
284,47,千塚弘化馬頭尊,,弘化3年,1846,千塚町,,千塚判官塚,厚碑型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
288,48,小暮馬頭尊,,明治8年,1875,千塚町,,千塚判官塚,厚碑型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
291,49,浜野馬頭尊,,明治18年,1885,千塚町,,千塚判官塚,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
314,50,千塚延宝庚申塔,,延宝8年,1680,千塚町,,千塚判官塚,舟型背面、像浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
316,51,千塚延宝庚申塔,,延宝8年,1680,千塚町,,千塚判官塚,舟型背面、像浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
321,52,享保青面金剛尊,,享保20年,1735,千塚町,,千塚判官塚,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
322,53,寛政小暮庚申塔,,寛政12年,1800,千塚町,,千塚判官塚,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
325,54,千塚萬延庚申塔,,萬延元年,1860,千塚町,,千塚判官塚,自然石、卵型,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1116,55,千塚馬頭観世音,,天保12年,1841,千塚町,,判官塚,柱型,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1117,56,浜野家馬頭観世音,,明治18年,1885,千塚町,,判官塚,柱型,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1115,57,腰高家馬頭観世音,,文化3年,1806,千塚町,,判官塚,駒型,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1118,58,小暮家馬頭観世音,,明治8年,1875,千塚町,,判官塚,柱型、治→和の訂正書き有,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
262,59,千塚寛文釈迦如来,座像,寛文9年,1669,千塚町,,千塚墓地,丸彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1070,60,釈迦如来,坐像,寛文9年,1669,千塚町,,千塚墓地中央,石造,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
297,61,長吉馬頭尊,,昭和9年,1934,千塚町,,,厚碑型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
329,62,三猿浮彫り庚申塔,,不明,,当郷町,,荒川藤七,舟型、三猿浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
312,63,延宝三猿庚申塔,,延宝5年,1667,当郷町,,荒川藤七,舟型背面、像浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
296,64,飯塚馬頭尊,,昭和3年,1928,当郷町,,飯塚 久雄,碑型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
327,65,勘七猿田彦,,昭和11年,1936,当郷町,,今成 勘七,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
306,66,土橋十九夜念佛供養塔,座像,宝暦5年,1755,当郷町,,新田集会所,丸彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
315,67,新田延宝庚申塔,,延宝8年,1680,当郷町,,新田集会所,舟型背面、像浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
265,68,善長寺寛保地蔵尊,立像,寛保3年,1743,当郷町,,善長寺,丸彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
268,69,善長寺地蔵尊（1）,立像,不明,,当郷町,,善長寺,丸彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
269,70,善長寺地蔵尊（2）,立像,不明,,当郷町,,善長寺,丸彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
270,71,善長寺地蔵尊（3）,立像,不明,,当郷町,,善長寺,丸彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
272,72,善長寺六地蔵,立像,延宝7年,1679,当郷町,,善長寺,丸彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
275,73,土橋馬頭尊,,宝暦6年,1756,当郷町,,善長寺,舟型背面、像浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
278,74,文化馬頭尊,,文化12年,1815,当郷町,,善長寺,駒型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
279,75,越沢馬頭尊,,文政5年,1822,当郷町,,善長寺,厚碑型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
281,76,内田馬頭尊,,天保9年,1838,当郷町,,善長寺,駒型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
282,77,天保馬頭尊,,天保12年,1841,当郷町,,善長寺,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
285,78,嘉永馬頭尊,,嘉永6年,1853,当郷町,,善長寺,駒型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
287,79,石井馬頭尊,,安政3年,1856,当郷町,,善長寺,駒型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
289,80,弥平馬頭尊,,明治12年,1879,当郷町,,善長寺,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
292,81,村田馬頭尊,,明治23年,1890,当郷町,,善長寺,碑型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
293,82,丑次郎馬頭尊,,明治27年,1894,当郷町,,善長寺,駒型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
294,83,七蔵馬頭尊,,大正7年,1918,当郷町,,善長寺,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
295,84,町田馬頭尊,,大正13年,1924,当郷町,,善長寺,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
298,85,熊藏馬頭尊,,昭和11年,1936,当郷町,,善長寺,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
299,86,姫野号馬頭尊,,昭和15年,1940,当郷町,,善長寺,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
300,87,像馬頭尊,,不明,,当郷町,,善長寺,舟型背面（銘なし）、像浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
301,88,根岸馬頭尊,,不明,,当郷町,,善長寺,舟型背面、像浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
302,89,藤八馬頭尊,,不明,,当郷町,,善長寺,柱型、文字（上部欠）,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
303,90,柱型馬頭尊,,不明,,当郷町,,善長寺,柱型、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
304,91,利兵衛馬頭尊,,不明,,当郷町,,善長寺,柱型（石面剥離）、文字,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
309,92,善長寺不動尊,,元文2年,1737,当郷町,,善長寺,丸彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
310,93,善長寺辨財天,,明治30年,1897,当郷町,,善長寺,屋型,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
336,94,応永二年弥陀一尊板碑,,応永2年,1395,当郷町,,善長寺,天蓋、花瓶1個,,高67幅23,②456③⑧958,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
340,95,善長寺宝篋印塔（1）,,永徳3年,1383,当郷町,,善長寺,相輪、笠,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
341,96,善長寺宝篋印塔（2）,,元和6年,1620,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
342,97,善長寺宝篋印塔（3）,,元和8年,1622,当郷町,,善長寺,相輪、笠,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
343,98,善長寺宝篋印塔（4）,,元和8年,1622,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
344,99,善長寺宝篋印塔（5）,,元和9年,1623,当郷町,,善長寺,相輪欠,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
345,100,善長寺宝篋印塔（6）,,元和9年,1623,当郷町,,善長寺,祥室院殿の墓、市・指定,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
346,101,善長寺宝篋印塔（7）,,元和9年,1623,当郷町,,善長寺,笠・塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
347,102,善長寺宝篋印塔（8）,,寛永4年,1627,当郷町,,善長寺,相輪欠,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
348,103,善長寺宝篋印塔（9）,,寛永4年,1627,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
349,104,善長寺宝篋印塔（10）,,寛永8年,1631,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
350,105,善長寺宝篋印塔（11）,,寛永10年,1633,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
351,106,善長寺宝篋印塔（12）,,寛永11年,1634,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
352,107,善長寺宝篋印塔（13）,,寛永11年,1634,当郷町,,善長寺,笠・塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
353,108,善長寺宝篋印塔（14）,,寛永12年,1635,当郷町,,善長寺,笠・塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
354,109,善長寺宝篋印塔（15）,,寛永14年,1637,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
355,110,善長寺宝篋印塔（16）,,寛永14年,1637,当郷町,,善長寺,相輪欠,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
356,111,善長寺宝篋印塔（17）,,寛永15年,1638,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
357,112,善長寺宝篋印塔（18）,,寛永15年,1638,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
358,113,善長寺宝篋印塔（19）,,寛永16年,1639,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
359,114,善長寺宝篋印塔（20）,,寛永17年,1640,当郷町,,善長寺,笠・塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
360,115,善長寺宝篋印塔（21）,,寛永19年,1642,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
361,116,善長寺宝篋印塔（22）,,万治2年,1659,当郷町,,善長寺,,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
362,117,善長寺宝篋印塔（23）,,寛文9年,1669,当郷町,,善長寺,,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
363,118,善長寺宝篋印塔（24）,,不明,,当郷町,,善長寺,塔身のみ,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
364,119,善長寺宝篋印塔（25）,,不明,,当郷町,,善長寺,,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
380,120,戒壇石,,文化6年,1809,当郷町,,善長寺,柱型,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1504,121,種子不明板碑,,不明,,当郷町,,善長寺,,,高76幅23,②464,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1569,122,宝篋印塔基礎銘,,不明,,当郷町,,善長寺,,,高24.5幅33.5,②484,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1589,123,竹外杉先生碑,,明治14年,1881,当郷町,,善長寺杉家墓地内,,,高175幅92厚21,①64,郷谷,,@,,17/1,0.00000000 ,0.00000000 ,,,,,,
1590,124,陋軒吉田先生墓所碑,,明治19年,1886,当郷町,,善長寺吉田家墓地内,,,高185幅111厚22,①66,郷谷,,@,,,0.00000000 ,0.00000000 ,,,,,,
1594,125,尾形赤峰碑,,昭和13年,1938,当郷町,,善長寺尾形家墓地,,,高200幅91厚13,①71,郷谷,,@,,,0.00000000 ,0.00000000 ,,,,,,
1591,126,芭蕉句碑,,不詳,,当郷町,,善長寺境内,,,高120幅80厚30,①67,郷谷,,@,,,0.00000000 ,0.00000000 ,,,,,,
1592,127,英霊碑,,昭和28年,1953,当郷町,,善長寺境内,,,高338幅130厚21,①,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1593,128,前山巨峰句碑,,昭和48年,1973,当郷町,,善長寺境内,,,高60幅157厚53,①69,郷谷,,@,,,0.00000000 ,0.00000000 ,,,,,,
1588,129,ぬかるみ師弟句碑,,昭和51年,1976,当郷町,,善長寺境内,,,高120幅180厚20,①61,郷谷,,@,,,0.00000000 ,0.00000000 ,,,,,,
376,130,文政道祖神,,文政12年,1829,当郷町,,当郷本郷,石殿造り造殿,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
377,131,本郷道祖神,,天保8年,1837,当郷町,,当郷本郷,石殿造り,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
317,132,土橋貞享庚申塔,,貞享2年,1685,当郷町,,当郷薬師堂,舟型背面、像浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
324,133,天保自然石庚申塔,,天保6年,1835,当郷町,,当郷薬師堂,自然石、卵型,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1089,134,判官塚庚申,,延宝8年,1680,当郷町,,新当郷判官塚,舟型背面、青面金剛三猿浮彫,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1090,135,判官塚青面金剛,,享保20年,1735,当郷町,,新当郷判官塚,柱型、文字,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1091,136,判官塚庚申（1）,,寛政12年,1800,当郷町,,新当郷判官塚,柱型、文字,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
1092,137,判官塚庚申（2）,,萬延元年,1860,当郷町,,新当郷判官塚,自然石、碑型,,高幅厚,⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
313,138,亀井の庚申塔,,延宝7年,1679,当郷町,,新当郷亀井,舟型背面、像浮彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
374,139,坂下らいでん道道標,道標,天保6年,1835,当郷町,,新当郷坂下,柱型,,高幅厚,②490③,郷谷,,@,,15/11,0.00000000 ,0.00000000 ,,,,,,
1587,140,六代目東関記念碑,,大正7年,1918,当郷町,,新当郷町浜野知司氏宅地内,,,高243幅77厚11,①59,郷谷,,@,,16/6,0.00000000 ,0.00000000 ,,,,,,
323,141,文政文字庚申塔,,文政12年,1829,当郷町,,松林寺,自然石、卵型,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
365,142,松林寺宝篋印塔（1）,,寛永16年,1639,当郷町,,松林寺,,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
366,143,松林寺宝篋印塔（2）,,寛文12年,1672,当郷町,,松林寺,,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
367,144,松林寺宝篋印塔（3）,,寛文12年,1672,当郷町,,松林寺,,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
368,145,松林寺宝篋印塔（4）,,延宝9年,1681,当郷町,,松林寺,,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
369,146,松林寺宝篋印塔（5）,,不明,,当郷町,,松林寺,,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
263,147,土橋丸彫り地蔵尊,立像,寛永6年,1629,当郷町,,薬師堂,丸彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
382,148,秩父、西國、坂東巡礼塔,,文政元年,1818,当郷町,,薬師堂,柱型、笠付き,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
326,149,多平庚申塔,,明治30年,1897,当郷町,,谷津 隆,柱型、文字,,高幅厚,③⑥,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
271,150,定林地蔵尊,立像,不明,,当郷町,,,丸彫,,高幅厚,③,郷谷,,,,,0.00000000 ,0.00000000 ,,,,,,
280,151,坂下馬頭尊,道標,天保4年,1833,当郷町,,新当郷坂下,柱型、文字(道しるべ兼ねる),,高幅厚,②490③⑧771,郷谷,,@,,13/5,0.00000000 ,0.00000000 ,,,,,,
